Name	Dataset
Guppy	preticulata_gene_ensembl
GreaterBambooLemur	psimus_gene_ensembl
ChineseSoftshellTurtle	psinensis_gene_ensembl
UgandanRedColobus	ptephrosceles_gene_ensembl
Chimpanzee	ptroglodytes_gene_ensembl
Megabat	pvampyrus_gene_ensembl
CentralBeardedDragon	pvitticeps_gene_ensembl
BlackSnubNosedMonkey	rbieti_gene_ensembl
Rat	rnorvegicus_gene_ensembl
GoldenSnubNosedMonkey	rroxellana_gene_ensembl
Shrew	saraneus_gene_ensembl
BolivianSquirrelMonkey	sboliviensis_gene_ensembl
CommonCanary	scanaria_gene_ensembl
SaccharomycesCerevisiae	scerevisiae_gene_ensembl
DaurianGroundSquirrel	sdauricus_gene_ensembl
YellowtailAmberjack	sdorsalis_gene_ensembl
GreaterAmberjack	sdumerili_gene_ensembl
AsianBonytongue	sformosus_gene_ensembl
TasmanianDevil	sharrisii_gene_ensembl
Turbot	smaximus_gene_ensembl
ArgentineBlackAndWhiteTegu	smerianae_gene_ensembl
BicolorDamselfish	spartitus_gene_ensembl
Tuatara	spunctatus_gene_ensembl
Pig	sscrofa_gene_ensembl
PigUsmarc	susmarc_gene_ensembl
TreeShrew	tbelangeri_gene_ensembl
Gelada	tgelada_gene_ensembl
ZebraFinch	tguttata_gene_ensembl
Tetraodon	tnigroviridis_gene_ensembl
Fugu	trubripes_gene_ensembl
Dolphin	ttruncatus_gene_ensembl
AmericanBlackBear	uamericanus_gene_ensembl
PolarBear	umaritimus_gene_ensembl
ArcticGroundSquirrel	uparryii_gene_ensembl
Alpaca	vpacos_gene_ensembl
CommonWombat	vursinus_gene_ensembl
RedFox	vvulpes_gene_ensembl
MonterreyPlatyfish	xcouchianus_gene_ensembl
Platyfish	xmaculatus_gene_ensembl
Xenopus	xtropicalis_gene_ensembl
WhiteThroatedSparrow	zalbicollis_gene_ensembl
	
	
	
	
